,movie,director,evaluation,views
0,Matrix,"Lana Wachowski, Lilly Wachowski",100.0,2
1,Hanami,Dorris Doerie,100.0,1
2,Magnolia,Paul Thomas Anderson,99.8,5
3,Interstellar,Christopher Nolan,99.0,8
4,2001: A Space Odyssey,Stanley Kubrick,97.5,2
5,The Lord of the Rings: The Two Towers,Peter Jackson,97.2,4
6,The Hateful Eight,Quentin Tarantino,97.0,1
7,Kill Bill: Vol. 1,Quentin Tarantino,97.0,3
8,Fight Club,David Fincher,96.7,3
9,The Dark Knight,Christopher Nolan,96.5,2
10,Back to the Future,Robert Zemeckis,96.0,1
11,Pulp Fiction,Quentin Tarantino,96.0,1
12,The Lord of the Rings: The Return of the King,Peter Jackson,95.8,4
13,The Big Short,Adam McKay,95.2,5
14,Der Nussknacker,Pjotr Iljitsch Tschaikowski,95.0,1
15,The Godfather,Francis Ford Coppola,95.0,1
16,Inglourious Basterds,Quentin Tarantino,95.0,2
17,Pappa ante portas,Loriot,95.0,1
18,Mulholland Dr.,David Lynch,95.0,1
19,Aliens,James Cameron,95.0,1
20,The Shawshank Redemption,Frank Darabont,94.5,2
21,Blade Runner 2049,Denis Villeneuve,94.3,3
22,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,94.0,5
23,Ex Machina,Alex Garland,93.8,5
24,Mad Max: Fury Road,George Miller,93.8,5
25,Inception,Christopher Nolan,93.7,3
26,Apocalypse Now,Francis Ford Coppola,93.5,2
27,Back to the Future Part III,Robert Zemeckis,93.5,2
28,Capernaum,Nadine Labaki,93.3,3
29,Alien,Ridley Scott,93.0,2
30,The Host,Bong Joon-Ho,93.0,4
31,The Truman Show,Peter Weir,93.0,1
32,Jurassic Park,Steven Spielberg,93.0,1
33,Avengers: Infinity War,Joe Russo,92.5,2
34,Casablanca,Michael Curtiz,92.0,1
35,Detroit,Kathryn Bigelow,92.0,1
36,The Disaster Artist,James Franco,92.0,1
37,The Godfather: Part II,Francis Ford Coppola,92.0,1
38,Festen,Thomas Vinterberg,91.0,1
39,Alien 3,David Fincher,91.0,1
40,The Big Lebowski,Coen Brueder,90.5,2
41,Loving Vincent,"Dorota Kobiela, Hugh Welchman",90.5,2
42,The Florida Project,Sean Baker,90.5,2
43,Donnie Darko,Richard Kelly,90.0,2
44,Requiem for a Dream,Darren Aronofsky,90.0,1
45,Back to the Future Part II,Robert Zemeckis,90.0,1
46,The Game,David Fincher,90.0,1
47,A Beautiful Mind,Ron Howard,90.0,1
48,Children of Men,Alfonso Cuarón,90.0,1
49,Once upon a Time in Hollywood,Quentin Tarantino,90.0,3
